"","Total Number of reads for each species across all samples"
"Paenibacillus sp. 32O-W",2200
"Paenibacillus sp. 37",834
"Paenibacillus sp. 481",678
"Paenibacillus sp. B01",2936
"Paenibacillus sp. BIHB4019",1656
"Paenibacillus sp. CAA11",1517
"Paenibacillus sp. Cedars",613
"Paenibacillus sp. DCT19",977
"Paenibacillus sp. DR312",412
"Paenibacillus sp. E222",1219
"Paenibacillus sp. FSL H7-0357",2082
"Paenibacillus sp. FSL H7-0737",1185
"Paenibacillus sp. FSL P4-0081",1564
"Paenibacillus sp. FSL R5-0345",490
"Paenibacillus sp. FSL R5-0912",1296
"Paenibacillus sp. FSL R7-0273",2504
"Paenibacillus sp. FSL R7-0331",2025
"Paenibacillus sp. H1-7",1874
"Paenibacillus sp. HWE-109",1198
"Paenibacillus sp. IHB B 3084",691
"Paenibacillus sp. IHBB 10380",689
"Paenibacillus sp. JNUCC-31",1078
"Paenibacillus sp. JNUCC-32",500
"Paenibacillus sp. JZ16",1528
"Paenibacillus sp. lzh-N1",336
"Paenibacillus sp. M-152",147
"Paenibacillus sp. N3/727",385
"Paenibacillus sp. PAMC21692",832
"Paenibacillus sp. R14(2021)",1731
"Paenibacillus sp. RUD330",2039
"Paenibacillus sp. S02",193
"Paenibacillus sp. S25",386
"Paenibacillus sp. sptzw28",1368
"Paenibacillus sp. URB8-2",1387
"Paenibacillus sp. Y412MC10",921
"Paenibacillus sp. YPD9-1",1284
"Paenibacillus stellifer",2081
"Paenibacillus swuensis",942
"Paenibacillus terrae",867
"Paenibacillus thiaminolyticus",1245
"Paenibacillus tianjinensis",1687
"Paenibacillus tritici",2030
"Paenibacillus uliginis",710
"Paenibacillus xylanexedens",790
"Paenibacillus xylanilyticus",1104
"Paenibacillus yonginensis",1721
"Saccharibacillus brassicae",2520
"Thermobacillus composti",2480
"Exiguobacterium acetylicum",994
"Exiguobacterium alkaliphilum",504
"Exiguobacterium antarcticum",389
"Exiguobacterium sp. MH3",144
"Gemella haemolysans",835
"Gemella morbillorum",779
"Gemella sanguinis",301
"Gemella sp. zg-570",308
"Jeotgalibacillus malaysiensis",988
"Kurthia sp. 11kri321",25535
"Kurthia zopfii",14576
"Paenisporosarcina antarctica",899
"Paenisporosarcina cavernae",564
"Planococcus antarcticus",611
"Planococcus donghaensis",516
"Planococcus faecalis",124
"Planococcus glaciei",753
"Planococcus halocryophilus",506
"Planococcus halotolerans",807
"Planococcus kocurii",112
"Planococcus lenghuensis",875
"Planococcus maritimus",1250
"Planococcus massiliensis",494
"Planococcus plakortidis",813
"Planococcus rifietoensis",534
"Planococcus sp. 107-1",923
"Planococcus sp. MB-3u-03",954
"Planococcus sp. PAMC 21323",652
"Planococcus versutus",430
"Rummeliibacillus stabekisii",2663
"Solibacillus silvestris",2629
"Solibacillus sp. R5-41",2165
"Sporosarcina pasteurii",483
"Sporosarcina psychrophila",57
"Sporosarcina sp. Marseille-Q4063",564
"Sporosarcina sp. P33",194
"Sporosarcina sp. P37",924
"Sporosarcina sp. PTS2304",555
"Sporosarcina sp. resist",493
"Sporosarcina sp. Te-1",809
"Sporosarcina ureae",2206
"Sporosarcina ureilytica",539
"Ureibacillus thermophilus",964
"Ureibacillus thermosphaericus",1155
"Viridibacillus sp. JNUCC-6",3571
"Sporolactobacillus terrae",720
"Abyssicoccus albus",219
"Jeotgalicoccus saudimassiliensis",479
"Jeotgalicoccus sp. ATCC 8456",296
"Jeotgalicoccus sp. WY2",493
"Macrococcus armenti",597
"Macrococcus bohemicus",244
"Macrococcus brunensis",646
"Macrococcus canis",807
"Macrococcus caseolyticus",978
"Macrococcus sp. IME1552",236
"Mammaliicoccus lentus",820
"Mammaliicoccus sciuri",3244
"Mammaliicoccus stepanovicii",202
"Mammaliicoccus vitulinus",642
"Nosocomiicoccus ampullae",448
"Salinicoccus halodurans",744
"Staphylococcus agnetis",329
"Staphylococcus argenteus",178
"Staphylococcus arlettae",554
"Staphylococcus aureus",8314
"Staphylococcus auricularis",286
"Staphylococcus capitis",749
"Staphylococcus caprae",403
"Staphylococcus carnosus",511
"Staphylococcus chromogenes",327
"Staphylococcus coagulans",69
"Staphylococcus cohnii",799
"Staphylococcus condimenti",489
"Staphylococcus debuckii",216
"Staphylococcus delphini",180
"Staphylococcus epidermidis",1565
"Staphylococcus equorum",422
"Staphylococcus felis",484
"Staphylococcus gallinarum",618
"Staphylococcus haemolyticus",1508
"Staphylococcus hominis",826
"Staphylococcus hyicus",184
"Staphylococcus kloosii",261
"Staphylococcus lloydii",271
"Staphylococcus lugdunensis",501
"Staphylococcus lutrae",252
"Staphylococcus muscae",370
"Staphylococcus nepalensis",269
"Staphylococcus pasteuri",562
"Staphylococcus pettenkoferi",400
"Staphylococcus piscifermentans",168
"Staphylococcus pseudintermedius",844
"Staphylococcus pseudoxylosus",541
"Staphylococcus roterodami",140
"Staphylococcus saccharolyticus",314
"Staphylococcus saprophyticus",659
"Staphylococcus schleiferi",292
"Staphylococcus schweitzeri",170
"Staphylococcus simiae",541
"Staphylococcus simulans",773
"Staphylococcus sp. 11-B-312",46
"Staphylococcus sp. 17KM0847",365
"Staphylococcus sp. CCM 9025",317
"Staphylococcus sp. MI 10-1553",235
"Staphylococcus sp. SB1-57",40
"Staphylococcus succinus",295
"Staphylococcus warneri",383
"Staphylococcus xylosus",658
"Kroppenstedtia eburnea",742
"Kroppenstedtia pulmonis",540
"Laceyella sacchari",534
"Novibacillus thermophilus",1329
"Polycladomyces abyssicola",606
"Staphylospora marina",718
"Thermoactinomyces vulgaris",560
"Abiotrophia defectiva",568
"Aerococcus christensenii",1019
"Aerococcus sanguinicola",483
"Aerococcus urinae",392
"Aerococcus urinaeequi",1261
"Aerococcus urinaehominis",252
"Aerococcus viridans",1140
"Suicoccus acidiformans",441
"Carnobacterium divergens",867
"Carnobacterium inhibens",383
"Carnobacterium maltaromaticum",1884
"Carnobacterium sp. 17-4",284
"Carnobacterium sp. CS13",48
"Carnobacterium viridans",296
"Dolosigranulum pigrum",622
"Granulicatella adiacens",405
"Granulicatella elegans",1258
"Jeotgalibaca arthritidis",451
"Jeotgalibaca ciconiae",605
"Jeotgalibaca dankookensis",275
"Jeotgalibaca porci",724
"Jeotgalibaca sp. MA1X17-3",396
"Jeotgalibaca sp. PTS2502",156
"Marinilactibacillus sp. 15R",472
"Enterococcus avium",2365
"Enterococcus casseliflavus",13989
"Enterococcus cecorum",2165
"Enterococcus durans",1642
"Enterococcus faecalis",5279
"Enterococcus faecium",15701
"Enterococcus gallinarum",2817
"Enterococcus gilvus",1750
"Enterococcus hirae",8238
"Enterococcus lactis",1558
"Enterococcus mundtii",1538
"Enterococcus raffinosus",1430
"Enterococcus rotai",964
"Enterococcus saigonensis",2080
"Enterococcus sp. CR-Ec1",2030
"Enterococcus sp. FDAARGOS_375",4889
"Enterococcus sp. FDAARGOS_553",35
"Enterococcus sp. M190262",41
"Enterococcus thailandicus",1027
"Enterococcus wangshanyuanii",925
"Melissococcus plutonius",468
"Tetragenococcus halophilus",1125
"Tetragenococcus koreensis",806
"Tetragenococcus osmophilus",521
"Vagococcus carniphilus",969
"Vagococcus coleopterorum",273
"Vagococcus fluvialis",5820
"Vagococcus hydrophili",886
"Vagococcus lutrae",570
"Vagococcus penaei",440
"Vagococcus teuberi",357
"Vagococcus xieshaowenii",427
"Vagococcus zengguangii",652
"Acetilactobacillus jinshanensis",72
"Amylolactobacillus amylophilus",510
"Apilactobacillus bombintestini",50
"Apilactobacillus kunkeei",278
"Bombilactobacillus bombi",162
"Companilactobacillus alimentarius",438
"Companilactobacillus allii",329
"Companilactobacillus crustorum",346
"Companilactobacillus farciminis",264
"Companilactobacillus futsaii",301
"Companilactobacillus ginsenosidimutans",268
"Companilactobacillus heilongjiangensis",198
"Companilactobacillus pabuli",302
"Companilactobacillus paralimentarius",308
"Companilactobacillus zhachilii",253
"Fructilactobacillus fructivorans",104
"Fructilactobacillus lindneri",135
"Fructilactobacillus sanfranciscensis",176
"Furfurilactobacillus rossiae",592
"Lacticaseibacillus casei",635
"Lacticaseibacillus chiayiensis",200
"Lacticaseibacillus manihotivorans",389
"Lacticaseibacillus paracasei",1445
"Lacticaseibacillus rhamnosus",893
"Lacticaseibacillus zeae",373
"Lactiplantibacillus paraplantarum",419
"Lactiplantibacillus pentosus",875
"Lactiplantibacillus plantarum",6247
"Lactobacillus acetotolerans",1659
"Lactobacillus acidophilus",30852
"Lactobacillus amylolyticus",1467
"Lactobacillus amylovorus",124940
"Lactobacillus apis",312
"Lactobacillus crispatus",11803
"Lactobacillus delbrueckii",2450
"Lactobacillus gallinarum",785
"Lactobacillus gasseri",2978
"Lactobacillus helsingborgensis",75
"Lactobacillus helveticus",3968
"Lactobacillus iners",1556
"Lactobacillus jensenii",1225
"Lactobacillus johnsonii",17792
"Lactobacillus kefiranofaciens",3306
"Lactobacillus kullabergensis",339
"Lactobacillus panisapium",770
"Lactobacillus paragasseri",428
"Lactobacillus sp. 3B(2020)",335
"Lactobacillus sp. CBA3605",219
"Lactobacillus sp. CBA3606",280
"Lactobacillus sp. JM1",163
"Lactobacillus sp. wkB8",101
"Lactobacillus taiwanensis",729
"Lactobacillus terrae",200
"Lactobacillus ultunensis",6393
"Lapidilactobacillus dextrinicus",226
"Latilactobacillus curvatus",417
"Latilactobacillus fuchuensis",118
"Latilactobacillus graminis",154
"Latilactobacillus sakei",646
"Lentilactobacillus buchneri",480
"Lentilactobacillus curieae",122
"Lentilactobacillus hilgardii",472
"Lentilactobacillus kefiri",271
"Lentilactobacillus parabuchneri",429
"Lentilactobacillus sp. IM3328",128
"Leuconostoc carnosum",144
"Leuconostoc citreum",374
"Leuconostoc falkenbergense",280
"Leuconostoc gelidum",451
"Leuconostoc kimchii",107
"Leuconostoc lactis",373
"Leuconostoc mesenteroides",1244
"Leuconostoc pseudomesenteroides",7579
"Leuconostoc suionicum",203
"Levilactobacillus brevis",1578
"Levilactobacillus koreensis",298
"Levilactobacillus suantsaii",550
"Levilactobacillus zymae",508
"Ligilactobacillus acidipiscis",217
"Ligilactobacillus agilis",277
"Ligilactobacillus animalis",917
"Ligilactobacillus murinus",1006
"Ligilactobacillus ruminis",11729
"Ligilactobacillus saerimneri",214
"Ligilactobacillus salivarius",1821
"Limosilactobacillus fermentum",1426
"Limosilactobacillus frumenti",245
"Limosilactobacillus gastricus",122
"Limosilactobacillus mucosae",23360
"Limosilactobacillus panis",170
"Limosilactobacillus pontis",340
"Limosilactobacillus reuteri",78986
"Limosilactobacillus vaginalis",218
"Liquorilactobacillus hordei",499
"Liquorilactobacillus mali",362
"Liquorilactobacillus nagelii",456
"Loigolactobacillus backii",236
"Loigolactobacillus bifermentans",526
"Loigolactobacillus coryniformis",604
"Oenococcus kitaharae",248
"Oenococcus oeni",352
"Oenococcus sicerae",330
"Oenococcus sp. UCMA 16435",165
"Paucilactobacillus hokkaidonensis",319
"Paucilactobacillus nenjiangensis",208
"Paucilactobacillus oligofermentans",225
"Pediococcus acidilactici",472
"Pediococcus claussenii",155
"Pediococcus damnosus",248
"Pediococcus inopinatus",303
"Pediococcus pentosaceus",550
"Periweissella cryptocerci",364
"Schleiferilactobacillus harbinensis",1566
"Secundilactobacillus malefermentans",207
"Secundilactobacillus paracollinoides",608
"Weissella ceti",223
"Weissella cibaria",6711
"Weissella coleopterorum",52
"Weissella confusa",428
"Weissella diestrammenae",128
"Weissella hellenica",535
"Weissella jogaejeotgali",469
"Weissella koreensis",144
"Weissella paramesenteroides",17535
"Weissella soli",265
"Weissella viridescens",110
"Lactococcus allomyrinae",253
"Lactococcus cremoris",1305
"Lactococcus garvieae",2469
"Lactococcus lactis",4198
"Lactococcus piscium",364
"Lactococcus raffinolactis",1419
"Lactococcus sp. KACC 19320",377
"Lactococcus sp. LG1267",463
"Lactococcus sp. LG606",149
"Lactococcus taiwanensis",271
"Streptococcus acidominimus",1076
"Streptococcus agalactiae",10236
"Streptococcus anginosus",3882
"Streptococcus australis",1175
"Streptococcus canis",2161
"Streptococcus chenjunshii",860
"Streptococcus constellatus",1228
"Streptococcus cristatus",3475
"Streptococcus dysgalactiae",3771
"Streptococcus equi",1983
"Streptococcus equinus",2259
"Streptococcus ferus",888
"Streptococcus gallolyticus",5774
"Streptococcus gordonii",2179
"Streptococcus gwangjuense",153
"Streptococcus halichoeri",916
"Streptococcus halotolerans",820
"Streptococcus himalayensis",549
"Streptococcus ilei",350
"Streptococcus infantarius",624
"Streptococcus infantis",933
"Streptococcus iniae",803
"Streptococcus intermedius",754
"Streptococcus koreensis",73
"Streptococcus lactarius",1235
"Streptococcus lutetiensis",344
"Streptococcus marmotae",1560
"Streptococcus merionis",720
"Streptococcus milleri",678
"Streptococcus mitis",2630
"Streptococcus mutans",1209
"Streptococcus oralis",5381
"Streptococcus pantholopis",1136
"Streptococcus parasanguinis",658
"Streptococcus parasuis",971
"Streptococcus parauberis",1037
"Streptococcus pasteurianus",726
"Streptococcus periodonticum",229
"Streptococcus pluranimalium",2110
"Streptococcus pneumoniae",8069
"Streptococcus porcinus",1029
"Streptococcus pseudopneumoniae",245
"Streptococcus pseudoporcinus",907
"Streptococcus pyogenes",4284
"Streptococcus ratti",1116
"Streptococcus respiraculi",688
"Streptococcus rubneri",421
"Streptococcus ruminantium",210
"Streptococcus salivarius",9938
"Streptococcus sanguinis",3442
"Streptococcus sobrinus",1882
"Streptococcus sp. 'group B'",2935
"Streptococcus sp. 116-D4",577
"Streptococcus sp. 1643",133
"Streptococcus sp. A12",392
"Streptococcus sp. CNU 77-61",166
"Streptococcus sp. CNU G2",594
"Streptococcus sp. CNU G3",637
"Streptococcus sp. DAT741",89
"Streptococcus sp. FDAARGOS_192",544
"Streptococcus sp. FDAARGOS_522",3209
"Streptococcus sp. HKU75",1076
"Streptococcus sp. HSISM1",536
"Streptococcus sp. HSISS2",1326
"Streptococcus sp. HSISS3",1977
"Streptococcus sp. KS 6",341
"Streptococcus sp. LPB0220",313
"Streptococcus sp. NPS 308",253
"Streptococcus sp. NSJ-72",129
"Streptococcus sp. oral taxon 061",532
"Streptococcus sp. oral taxon 064",90
"Streptococcus sp. oral taxon 431",929
"Streptococcus sp. zg-86",425
"Streptococcus suis",11246
"Streptococcus thermophilus",6624
"Streptococcus troglodytae",548
"Streptococcus uberis",893
"Streptococcus urinalis",792
"Streptococcus vestibularis",939
"Christensenella minuta",6170
"Christensenella sp. Marseille-P3954",19339
"Alkaliphilus metalliredigens",1987
"Alkaliphilus oremlandii",788
"Alkaliphilus sp. B6464",694
"Butyricicoccus sp. GAM44",662
"Caloramator sp. E03",1458
"Candidatus Arthromitus sp. SFB-mouse-NL",62
"Candidatus Arthromitus sp. SFB-rat-Yit",766
"Clostridium aceticum",936
"Clostridium acetobutylicum",1426
"Clostridium argentinense",1712
"Clostridium autoethanogenum",909
"Clostridium baratii",8787
"Clostridium beijerinckii",11352
"Clostridium bornimense",2438
"Clostridium botulinum",10823
"Clostridium butyricum",5070
"Clostridium cadaveris",1777
"Clostridium carboxidivorans",886
"Clostridium cellulovorans",2140
"Clostridium chauvoei",1256
"Clostridium cochlearium",731
"Clostridium diolis",681
"Clostridium drakei",860
"Clostridium estertheticum",1574
"Clostridium fermenticellae",1106
"Clostridium formicaceticum",982
"Clostridium gasigenes",1780
"Clostridium intestinale",1747
"Clostridium isatidis",1887
"Clostridium kluyveri",2246
"Clostridium ljungdahlii",435
"Clostridium manihotivorum",3136
"Clostridium novyi",906
"Clostridium pasteurianum",2868
"Clostridium perfringens",9189
"Clostridium saccharobutylicum",1735
"Clostridium saccharoperbutylacetonicum",2144
"Clostridium scatologenes",918
"Clostridium septicum",2049
"Clostridium sp. 'deep sea'",852
"Clostridium sp. 001",990
"Clostridium sp. AWRP",912
"Clostridium sp. BNL1100",1954
"Clostridium sp. C1",5105
"Clostridium sp. C5S11",1960
"Clostridium sp. DL-VIII",2157
"Clostridium sp. JN-1",1246
"Clostridium sp. JN-9",1310
"Clostridium sp. M62/1",40043
"Clostridium sp. MF28",1069
"Clostridium sp. SY8519",15325
"Clostridium sporogenes",6549
"Clostridium taeniosporum",1289
"Clostridium tetani",1641
"Clostridium thermarum",2187
"Clostridium tyrobutyricum",1232
"Crassaminicella profunda",1053
"Crassaminicella sp. 143-21",1161
"Crassaminicella thermophila",1422
"Geosporobacter ferrireducens",1684
"Hathewaya histolytica",600
"Hungatella hathewayi",19440
"Paraclostridium bifermentans",1458
"Sarcina sp. JB2",75491
"Serpentinicella alkaliphila",1080
"Carboxydocella thermautotrophica",896
"Thermaerobacter marianensis",1041
"Thermaerobacter sp. FW80",845
"Thermaerobacter sp. PB12/4term",843
"Desulfoscipio gibsoniae",1536
"Acetobacterium sp. KB-1",2326
"Acetobacterium woodii",1518
"Alkalibacter sp. ES005",1828
"Eubacterium callanderi",3305
"Eubacterium limosum",8810
"Eubacterium maltosivorans",3210
"Eubacterium sp. c-25",15701
"Eubacterium sp. MSJ-33",38806
"Eubacterium sp. NSJ-61",13179
"Aminipila butyrica",4162
"Aminipila luticellarii",7873
"Aminipila terrae",4703
"Mogibacterium diversum",3795
"Mogibacterium pumilum",2847
"Heliomicrobium modesticaldum",2745
"Heliorestis convoluta",966
"Anaerobutyricum hallii",238021
"Anaerocolumna cellulosilytica",8183
"Anaerocolumna chitinilytica",10390
"Anaerocolumna sedimenticola",11062
"Anaerostipes caccae",11769
"Anaerostipes hadrus",177702
"Anaerostipes rhamnosivorans",10756
"Anaerotignum propionicum",4790
"Blautia argi",47645
"Blautia hansenii",46702
"Blautia liquoris",16120
"Blautia massiliensis",133355
"Blautia obeum",299628
"Blautia producta",41307
"Blautia pseudococcoides",30857
"Blautia sp. NBRC 113351",38682
"Blautia sp. SC05B48",137029
"Butyrivibrio fibrisolvens",17064
"Butyrivibrio hungatei",11552
"Butyrivibrio proteoclasticus",12726
"Cellulosilyticum lentocellum",1352
"Cellulosilyticum sp. WCF-2",7104
"Coprococcus catus",81058
"Coprococcus comes",91537
"Coprococcus eutactus",55305
"Coprococcus sp. ART55/1",48333
"Enterocloster bolteae",27270
"Enterocloster clostridioformis",7417
"Faecalicatena sp. Marseille-Q4148",20430
"Herbinix luporum",5272
"Lachnoanaerobaculum umeaense",7638
"Lachnoclostridium [Clostridium] hylemonae",14584
"Lachnoclostridium [Clostridium] scindens",40012
"Lachnoclostridium phocaeense",23678
"Lachnoclostridium phytofermentans",8836
"Lachnoclostridium sp. YL32",13350
"Lachnospira eligens",60901
"Lacrimispora saccharolytica",15807
"Lacrimispora sphenoides",16037
"Mediterraneibacter [Ruminococcus] gnavus",62796
"Mediterraneibacter [Ruminococcus] torques",71621
"Novisyntrophococcus fermenticellae",17022
"Pseudobutyrivibrio xylanivorans",16820
"Roseburia hominis",218041
"Roseburia intestinalis",203306
"Roseburia sp. NSJ-69",112961
"Acetivibrio clariflavus",2411
"Acetivibrio saccincola",1783
"Acetivibrio thermocellus",2877
"Acutalibacter muris",18030
"Caproicibacter fermentans",10442
"Caproicibacterium amylolyticum",12057
"Caproicibacterium lactatifermentans",11444
